model,split,accuracy,precision,recall,f1,auc
Decision Tree depth=5,val,0.985155784877952,0.9858494586991732,0.9823324556187888,0.9840878148400273,0.9950056514731693
Decision Tree depth=5,test,0.7900993612491128,0.9627556266422941,0.6566664069196603,0.7807838413786714,0.8346401488484352
Decision Tree depth=10,val,0.9961897201825759,0.9957544366137386,0.9960927546080014,0.9959235668789808,0.9969811072346133
Decision Tree depth=10,test,0.782735982966643,0.9669295045310109,0.6402244214135432,0.7703703703703704,0.7866982940142406
Decision Tree depth=20,val,0.9984520738241714,0.9983860006795786,0.9983011976556527,0.9983435973667444,0.9984156567101939
Decision Tree depth=20,test,0.8000354861603974,0.9584756030399824,0.6780955349489597,0.7942679810149689,0.8190499080401712
Boosting,val,0.9988489779718198,0.9990651028386878,0.9984710778900875,0.998768002039169,0.9999933488255702
Boosting,test,0.8027856635911994,0.969859943977591,0.6745110262604224,0.795661365934369,0.9604153105076458
Naive Bayes,val,0.8576304822385394,0.9957606589147286,0.698292703643931,0.8209096809626041,0.9798270449105397
Naive Bayes,test,0.5665365507452094,0.9778332812987824,0.2440582872282397,0.39062110251933146,0.7928879279613785
Random Forest,val,0.9988886683865846,0.9995746490854955,0.9980463773040007,0.9988099285957157,0.9999876247653688
Random Forest,test,0.7697835344215755,0.9681489648413574,0.6158341775111041,0.7528100590588683,0.9503400234356476
